Sl no.,Hotel Name,PartnerRef,POS,Bid CPC,Opportunity CPC,Hotel Impr,Clicks,Cost,Avg. CPC,Top Pos Share,Impr Share,Outbid Ratio,Beat,Meet,Lose,Unavailability,Max Potential,Bookings,Booking Rate,CPA,Gross Rev,ABV,Booking Value Index,Net Rev,Net Rev/Click,Profit,ROAS,Margin,Region,Country,City,Stars,Rating
245,OYO 10504 Hotel Golden Heritage,ASR129,IN,0.19,0.27,18349,120,36.66,0.31,0.1534,0.8923,0.0001,0.0626,0.0008,0.8289,0.1077,13853,5,0.0417,0.2562,143.08,28.62,Low,0,0,-36.66,0,0,Punjab,India,Amritsar,3,83.02
246,OYO 7252 near Kempty Falls,MUS091,IN,0.29,0.31,10593,119,33.42,0.28,0.4835,0.9346,0.0009,0.073,0.0006,0.8619,0.0646,7970,7,0.0588,0.1838,181.84,25.98,Above Average,9.09,0.08,-24.33,0.272,0.05,Uttarakhand,India,Mussoorie,3,84.43
247,OYO 15399 Olive Villa,LNL052,IN,0.11,0.22,3730,119,15.54,0.13,0.726,0.9617,0.0061,0.7354,0,0.2263,0.0383,3102,3,0.0252,0.3181,48.85,16.28,Low,0,0,-15.54,0,0,Maharashtra,India,Lonavala,3,80.51
248,OYO 3128 Hotel Panorama,NAN025,IN,0.11,0.22,4756,118,23.7,0.2,0.3947,0.931,0.0005,0.27,0,0.6615,0.0685,3949,1,0.0085,0.4351,54.47,54.47,Low,0,0,-23.7,0,0,Uttarakhand,India,Nainital,3,84.88
249,OYO 2136 Hotel The Continental,LCK033,IN,0.23,0.37,6547,117,34.53,0.3,0.5212,0.9201,0.0003,0.8463,0,0.0739,0.0797,4922,4,0.0342,0.3773,91.51,22.88,High,0,0,-34.53,0,0,Uttar Pradesh,India,Lucknow,3,82.78
250,OYO 9045 Cosmopolitan Hotel,IND139,IN,0.41,0.65,16898,117,41.18,0.35,0.3073,0.8417,0.0008,0.1862,0.0007,0.6555,0.1576,13867,4,0.0342,0.2768,148.75,37.19,Below Average,0,0,-41.18,0,0,Madhya Pradesh,India,Indore,3,84.17
251,OYO 5731 Jazeera Resort,PTB002,IN,0.11,0.21,10752,117,18.73,0.16,0.6958,0.9729,0.0003,0.4887,0.0001,0.4841,0.0271,9266,0,0,,0,,Low,0,0,-18.73,0,,Andaman and Nicobar Islands,India,Port Blair,3,83.57
252,OYO 14544 Hotel Pacific Inn,SRT053,IN,0.14,0.26,2458,116,20.52,0.18,0.8727,0.8731,0,0.8718,0,0.0012,0.1269,1769,3,0.0259,0.2191,93.66,31.22,Average,0,0,-20.52,0,0,Daman and Diu,India,Surat,3,84.77
253,OYO 13095 Ganesh Mangal Guest House,GKP026,IN,0.2,0.22,4989,116,21.34,0.18,0.9447,0.9543,0.0006,0.2946,0.0002,0.6599,0.0453,3580,4,0.0345,0.2394,89.15,22.29,Average,0,0,-21.34,0,0,Uttar Pradesh,India,Gorakhpur,3,81.88
254,OYO 10946 Home 3BHK Lake View Rainbow Cottage Bhimtal,NAN231,IN,0.16,0.3,2972,115,30.61,0.27,0.6346,0.79,0,0.7402,0,0.0498,0.21,1822,0,0,,0,,Above Average,0,0,-30.61,0,,Uttarakhand,India,Nainital,0,83.07
255,OYO 7622 Varanasi Stays,VNS102,IN,0.21,0.8,16500,114,49.08,0.43,0.1572,0.9509,0.0003,0.0507,0,0.9005,0.0488,10509,5,0.0439,0.3072,159.78,31.96,Below Average,0,0,-49.08,0,0,Uttar Pradesh,India,Varanasi,3,83.95
256,OYO 14421 Hotel Grand Tower,UJJ025,IN,0.18,0.28,5562,114,22.06,0.19,0.931,0.9403,0,0.5732,0.0013,0.3659,0.0597,4731,6,0.0526,0.2834,77.84,12.97,Average,2.04,0.02,-20.02,0.0925,0.0262,Madhya Pradesh,India,Ujjain,3,86.9
257,OYO 11935 White Cloud Guest House,SHL057,IN,0.11,0.24,5273,113,18.63,0.16,0.6812,0.946,0.0365,0.5985,0.0006,0.3469,0.054,4404,2,0.0177,0.6682,27.88,13.94,Low,4.18,0.04,-14.45,0.2244,0.1499,Meghalaya,India,Shillong,3,83.12
258,OYO 6132 De Aalayam,GOA398,IN,0.13,0.43,5330,113,21.04,0.19,0.6278,0.9193,0.0008,0.6505,0.0004,0.2692,0.0799,4222,1,0.0088,0.3156,66.66,66.66,Below Average,0,0,-21.04,0,0,Goa,India,Margao,3,88
259,OYO 4701 Hotel Furaat Inn,AHM223,IN,0.32,0.39,2440,113,37.19,0.33,0.9857,0.9857,0,0.8623,0,0.1234,0.0143,1893,9,0.0796,0.2139,173.88,19.32,High,2.17,0.02,-35.02,0.0583,0.0125,Gujarat,India,Ahmedabad,3,80.65
260,OYO 5242 Zinho's,GOA336,IN,0.12,0.15,4820,113,18.37,0.16,0.3583,0.8739,0.0014,0.4098,0.0004,0.4637,0.1261,2744,1,0.0088,1.02,18.01,18.01,Below Average,0,0,-18.37,0,0,Goa,India,Velha Goa,3,84.8
261,OYO 1234 Hotel Neelkamal,CHA030,IN,0.28,0.31,2901,113,27.01,0.24,0.95,0.9552,0,0.5912,0.0134,0.3506,0.0448,2057,8,0.0708,0.248,108.89,13.61,Above Average,0,0,-27.01,0,0,Haryana,India,Panchkula,3,80.71
262,OYO 13747 Tanisha Guest house,GOA1482,IN,0.11,0.33,11203,113,21.8,0.19,0.1997,0.8282,0.001,0.137,0.0007,0.6904,0.1718,7238,0,0,,0,,Low,0,0,-21.8,0,,Goa,India,Velha Goa,3,85.77
263,OYO 2857 Hotel Delite,RTK004,IN,0.19,0.28,2192,112,26.77,0.24,0.9288,0.9594,0,0.3449,0,0.6145,0.0406,1177,5,0.0446,0.3311,80.84,16.17,Below Average,0,0,-26.77,0,0,Haryana,India,Rohtak,3,87.27
264,OYO 12906 Central Inn,GTR005,IN,0.11,0.13,2605,112,23.61,0.21,0.9555,0.9559,0.0008,0.9351,0,0.0207,0.0441,2069,3,0.0268,0.4973,47.48,15.83,Low,0,0,-23.61,0,0,Andhra Pradesh,India,Vijayawada,3,86.72
265,OYO 12995 Hotel Delhi 37,DEL925,IN,0.25,0.28,4551,112,29.42,0.26,0.5392,0.8141,0.0011,0.5537,0.0007,0.2606,0.185,3238,15,0.1339,0.1283,229.36,15.29,High,1.81,0.02,-27.61,0.0615,0.0079,Delhi,India,Delhi,3,71.84
266,OYO 7987 Hotel Carnation,OTY068,IN,0.15,0.83,15284,112,29.94,0.27,0.2652,0.9605,0.0006,0.0864,0.0003,0.8744,0.0389,10581,3,0.0268,0.2162,138.51,46.17,Below Average,6.28,0.06,-23.66,0.2098,0.0453,Tamil Nadu,India,Udhagamandalam,3,83.57
267,OYO 13268 Andaman Delta Resort,HVL001,IN,0.18,0.21,7779,112,18.09,0.16,0.6199,0.8928,0.0013,0.2097,0,0.6831,0.1072,6382,2,0.0179,0.0448,403.98,201.99,Below Average,0,0,-18.09,0,0,Andaman and Nicobar Islands,India,Havelock,3,81.9
268,OYO 1444 Silver Sands Holiday Village,GOA081,IN,0.15,0.18,1487,112,14.26,0.13,0.5454,0.6436,0,0.4607,0.002,0.1809,0.3564,715,3,0.0268,0.1334,106.9,35.63,Above Average,0,0,-14.26,0,0,Goa,India,Candolim,3,77.94
269,OYO 14639 Darshika Guest House,VRN024,IN,0.1,0.13,3001,111,11.1,0.1,0.988,0.988,0.5686,0.9717,0,0.0167,0.0117,3517,1,0.009,1.0694,10.38,10.38,Low,0,0,-11.1,0,0,Uttar Pradesh,India,Vrindavan,3,86.91
270,OYO 12818 Dev Villa,KAS049,IN,0.11,0.23,7101,111,18.72,0.17,0.7034,0.8514,0,0.8513,0,0.0001,0.1486,5701,0,0,,0,,Low,0,0,-18.72,0,,Himachal Pradesh,India,Kasauli,3,81.35
271,OYO 2616 Hotel Golden Sand,RTK002,IN,0.15,0.22,2110,111,23.2,0.21,0.9156,0.9474,0,0.2659,0,0.6815,0.0526,1198,3,0.027,0.3153,73.59,24.53,Below Average,0,0,-23.2,0,0,Haryana,India,Rohtak,3,85.56
272,OYO 15975 Hotel 365,CHA396,IN,0.23,0.38,2546,110,28.3,0.26,0.9863,0.9863,0.0008,0.9843,0,0.002,0.0137,2127,7,0.0636,0.2399,117.95,16.85,Above Average,0,0,-28.3,0,0,Punjab,India,Zirakpur,3,82.19
273,OYO 6295 near Jagannath Temple,PUR092,IN,0.11,0.14,4595,110,13.47,0.12,0.6207,0.6213,0.0007,0.6144,0,0.007,0.3787,2037,5,0.0455,0.0861,156.53,31.31,Below Average,12.29,0.11,-1.18,0.9124,0.0785,Odisha,India,Puri,3,80
274,OYO 3360 near Victory Tunnel,SHM047,IN,0.3,0.46,6266,110,30.96,0.28,0.7311,0.9561,0.0002,0.4735,0.0002,0.4826,0.0437,5028,3,0.0273,0.1584,195.44,65.15,High,0,0,-30.96,0,0,Himachal Pradesh,India,Shimla,3,82.22
275,OYO 11054 Amar Raj Guest House,KOL620,IN,0.25,0.32,19026,109,34.55,0.32,0.0849,0.942,0.0001,0.1004,0.0002,0.8416,0.0579,16502,7,0.0642,0.1879,183.9,26.27,Above Average,0,0,-34.55,0,0,West Bengal,India,Kolkata,3,85.81
276,OYO 5620 Hotel C Gate Residency,KNY002,IN,0.13,0.17,4680,109,18.94,0.17,0.9252,0.984,0.0048,0.5002,0,0.484,0.0158,4235,3,0.0275,0.531,35.67,11.89,Below Average,0,0,-18.94,0,0,Tamil Nadu,India,Kanyakumari,3,76.17
277,OYO 5993 Hotel Highland,LDH042,IN,0.18,0.25,3648,109,25.86,0.24,1,1,0.0003,0.9975,0,0.0025,0,3433,5,0.0459,0.3713,69.64,13.93,Above Average,0,0,-25.86,0,0,Punjab,India,Ludhiana,3,80.52
278,OYO 1881 Apartment Baner,PUN099,IN,0.24,0.38,34184,109,87.1,0.8,0.1302,0.952,0.0002,0.2098,0.0005,0.7419,0.0479,29232,1,0.0092,3.6922,23.59,23.59,Below Average,0,0,-87.1,0,0,Maharashtra,India,Pune,3,80.19
279,OYO 12546 Hotel Madhuban,RPR091,IN,0.11,0.15,3068,108,44.53,0.41,0.839,0.9192,0,0.8374,0.0209,0.061,0.0808,1994,3,0.0278,1.1878,37.49,12.5,Below Average,0,0,-44.53,0,0,Chhattisgarh,India,Raipur,3,80.38
280,Capital O 10212 Hotel West Willows Xanadu,KOL559,IN,0.32,0.49,32138,107,59.18,0.55,0.1371,0.931,0.0007,0.075,0.0002,0.8565,0.0684,27806,5,0.0467,0.185,319.96,63.99,High,0,0,-59.18,0,0,West Bengal,India,Kolkata,4,83.84
281,OYO 6962 Hotel Wood Castle,MCD043,IN,0.32,,4941,107,30.31,0.28,0.813,0.9518,0,0.5333,0.0002,0.4183,0.0482,4303,12,0.1121,0.0698,434.08,36.17,High,29.86,0.28,-0.45,0.9852,0.0688,Himachal Pradesh,India,Kangra,3,83.59
282,OYO 3616 Hotel Knight Inn Shillong,SHL003,IN,0.11,0.13,3697,107,14.08,0.13,0.4834,0.9048,0.0006,0.782,0,0.1228,0.0952,2709,1,0.0093,,0,0,Low,0,0,-14.08,0,,Meghalaya,India,Shillong,3,83.03
283,OYO 9815 Hotel San Bay Residency,PNY073,IN,0.11,0.17,3229,107,17.07,0.16,0.4729,0.8024,0,0.7318,0,0.0706,0.1976,2032,1,0.0093,1.4369,11.88,11.88,Low,0,0,-17.07,0,0,Pondicherry,India,Puducherry,3,79.8
284,OYO 9522 Calangute Baga Road,GOA121,IN,0.11,0.16,22667,107,31.4,0.29,0.119,0.875,0.0012,0.0915,0.0002,0.7835,0.1248,16931,0,0,,0,,Low,0,0,-31.4,0,,Goa,India,Velha Goa,3,80.84
285,OYO Flagship 307 Pimpri Pune,PUN307,IN,0.19,0.46,6268,106,49.25,0.46,0.2505,0.9071,0,0.1366,0.0048,0.7658,0.0929,4477,6,0.0566,0.6849,71.91,11.98,Below Average,0,0,-49.25,0,0,Maharashtra,India,Pune,3,81.63
286,OYO 15206 Hotel Sonar Gaon,PUR148,IN,0.11,0.13,3488,106,12.02,0.11,0.8701,0.8739,0.0259,0.873,0,0.0009,0.1261,2372,0,0,,0,,Low,0,0,-12.02,0,,Odisha,India,Puri,0,85.22
287,OYO 1076 Hotel Tourist Palace,HYD101,IN,0.21,0.22,2738,105,26.5,0.25,0.5259,0.882,0,0.1596,0.0018,0.7206,0.118,1825,6,0.0571,0.2196,120.67,20.11,High,0,0,-26.5,0,0,Telangana,India,Hyderabad,3,85.91
288,OYO 2377 Hotel Residency,MBL007,IN,0.23,,4243,105,11.06,0.11,0.5802,0.9767,0.1622,0.9378,0,0.0394,0.0229,3918,5,0.0476,0.092,120.18,24.04,Average,0,0,-11.06,0,0,Maharashtra,India,Panchgani,3,84.73
289,OYO 2917 Deccan,PUN123,IN,0.32,,2014,104,26.32,0.25,0.8774,0.922,0,0.292,0,0.6301,0.078,1572,8,0.0769,0.118,223.13,27.89,High,3.06,0.03,-23.26,0.1163,0.0137,Maharashtra,India,Pune,3,85.69
290,OYO 14178 Hotel Sea City,VSK132,IN,0.11,0.15,4854,104,37.94,0.36,0.9862,0.9889,0,0.9874,0,0.0014,0.0111,3854,0,0,,0,,Low,0,0,-37.94,0,,Andhra Pradesh,India,Visakhapatnam,3,80.39
291,OYO 4516 Golden Wind Horse,DRG038,IN,0.19,0.21,21485,103,24.7,0.24,0.1523,0.9637,0.0024,0.0959,0,0.8702,0.0339,16221,2,0.0194,0.1655,149.27,74.64,Below Average,0,0,-24.7,0,0,West Bengal,India,Darjeeling,3,79.31
292,OYO 1253 Ginger Tree Beach Resort,GOA059,IN,0.18,0.19,2129,103,19.26,0.19,0.7929,0.9319,0,0.2832,0.0061,0.6426,0.0681,1710,6,0.0583,0.0497,387.34,64.56,High,0,0,-19.26,0,0,Goa,India,Candolim,3,80.29
293,OYO 7209 Hotel Rama Palace,MTH020,IN,0.2,0.37,11846,103,24.62,0.24,0.2701,0.9369,0.0003,0.0552,0.0001,0.8818,0.0629,9732,6,0.0583,0.1643,149.83,24.97,Below Average,6.39,0.06,-18.23,0.2595,0.0426,Uttar Pradesh,India,Mathura,3,86.33
294,OYO 3035 Hotel Sun Sai,PUR020,IN,0.11,0.17,5991,102,29.17,0.29,0.4136,0.8761,0.0002,0.2195,0.0017,0.655,0.1239,4080,1,0.0098,2.037,14.32,14.32,Low,0,0,-29.17,0,0,Odisha,India,Puri,3,81.74
295,OYO 13231 Hotel Sapphire Garden View,OTY097,IN,0.15,0.17,1916,102,17.6,0.17,0.8648,0.8664,0,0.8455,0.001,0.0198,0.1336,1244,5,0.049,0.2723,64.63,12.93,Above Average,0,0,-17.6,0,0,Tamil Nadu,India,Udhagamandalam,3,83.01
296,OYO 1251 Hotel Suprabha,WAR002,IN,0.14,0.22,1430,102,11.88,0.12,0.5692,0.9392,0.3689,0.7951,0,0.149,0.0559,933,5,0.049,0.0508,233.84,46.77,High,0,0,-11.88,0,0,Andhra Pradesh,India,Warangal,3,80.15
297,FabExpress Westend Residency New Delhi Airport,DEL929,IN,0.11,0.96,45173,101,11.45,0.11,0.002,0.9277,0.0006,0.0451,0.0003,0.8828,0.0718,32954,2,0.0198,0.2519,45.46,22.73,Low,3.31,0.03,-8.14,0.2891,0.0728,Delhi,India,Delhi,3,83.94
298,OYO 12357 Hotel Nilgiris Inn,OTY092,IN,0.12,0.37,28391,101,33.35,0.33,0.0984,0.9135,0,0.326,0.0008,0.5867,0.0865,23690,1,0.0099,2.9991,11.12,11.12,Low,0,0,-33.35,0,0,Tamil Nadu,India,Udhagamandalam,3,77.31
299,OYO 1421 Hotel Nirmal Excellency,HYD127,IN,0.4,0.44,12447,101,37.48,0.37,0.1641,0.9343,0.0009,0.2627,0.0009,0.6715,0.0649,10009,11,0.1089,0.1823,205.57,18.69,Above Average,0,0,-37.48,0,0,Telangana,India,Hyderabad,3,83.89
300,OYO 6332 near Jagannath Temple,PUR093,IN,0.15,0.24,6178,100,13.49,0.13,0.423,0.4885,0.0007,0.4325,0,0.056,0.5115,2137,4,0.04,0.1542,87.46,21.86,Above Average,0,0,-13.49,0,0,Odisha,India,Puri,3,81.32
301,OYO 10076 Hotel Skylark,MUS098,IN,0.27,,8553,100,30.77,0.31,0.4486,0.9214,0,0.1513,0,0.7701,0.0786,6547,5,0.05,0.0795,386.96,77.39,High,14.51,0.15,-16.26,0.4716,0.0375,Uttarakhand,India,Mussoorie,3,81.69
302,OYO 2332 Hotel Zade House Mount View,UDP025,IN,0.14,0.21,10214,100,21.19,0.21,0.1121,0.7376,0.0001,0.2593,0.0003,0.4782,0.2623,6355,2,0.02,0.6842,30.97,15.48,Low,0,0,-21.19,0,0,Rajasthan,India,Udaipur,3,85.94
303,OYO 13218 Hotel Hollywood,MNL291,IN,0.24,0.33,4891,100,43.73,0.44,0.4539,0.9652,0,0.284,0,0.6813,0.0348,3377,1,0.01,0.5332,82.02,82.02,High,0,0,-43.73,0,0,Himachal Pradesh,India,Manali,3,84.16
304,OYO 8510 Welcome Inn,ASR107,IN,0.3,0.63,14409,100,38.46,0.38,0.2485,0.8952,0.0001,0.1527,0.0012,0.7414,0.1047,11726,7,0.07,0.2157,178.29,25.47,Below Average,0,0,-38.46,0,0,Punjab,India,Amritsar,3,89.9
305,OYO 3309 Anjam Smrithi Mandiram,GUV006,IN,0.18,0.29,6219,100,20.72,0.21,0.38,0.9463,0.0002,0.2039,0,0.7426,0.0535,4681,4,0.04,0.357,58.04,14.51,Average,2.76,0.03,-17.96,0.1332,0.0476,Kerala,India,Guruvayoor,3,86.03
306,OYO 1807 Hotel Platinum Inn,ALD009,IN,0.11,0.31,8918,99,22.58,0.23,0.4665,0.9388,0.001,0.0704,0,0.8693,0.0603,7644,2,0.0202,0.4469,50.53,25.26,Low,0,0,-22.58,0,0,Uttar Pradesh,India,Allahabad,3,81.99
307,OYO 4895 Abi Krishna,PNY029,IN,0.2,0.29,9181,99,25.03,0.25,0.9048,0.9113,0,0.7135,0.0001,0.1977,0.0887,7260,4,0.0404,0.1036,241.64,60.41,Below Average,22.18,0.22,-2.85,0.8861,0.0918,Pondicherry,India,Puducherry,2,78.62
308,OYO 10760 Hotel Palace INN,MYS099,IN,0.29,0.31,26816,99,36.82,0.37,0.1177,0.94,0.0003,0.1728,0.0025,0.765,0.0597,23901,7,0.0707,0.2592,142.05,20.29,Below Average,7.02,0.07,-29.8,0.1907,0.0494,Karnataka,India,Mysore,3,83.86
309,OYO 680 Hotel Ranjana Heritage,LCK001,IN,0.36,0.53,13015,98,52.1,0.53,0.9272,0.9819,0,0.0769,0,0.905,0.0181,11951,4,0.0408,0.2679,194.51,48.63,High,19.8,0.2,-32.3,0.38,0.1018,Uttar Pradesh,India,Lucknow,3,86.4
310,OYO 2116 Skylon Hotel,GNR002,IN,0.12,0.22,2822,98,16.34,0.17,0.8494,0.9833,0.0004,0.8434,0,0.14,0.0167,2701,4,0.0408,0.3571,45.76,11.44,Below Average,0,0,-16.34,0,0,Gujarat,India,Gandhinagar,3,80.71
311,Oyo 5083 Near Railway Station,TPI025,IN,0.12,0.31,15790,97,16.69,0.17,0.0819,0.9308,0.0053,0.1194,0.0006,0.8111,0.069,14208,2,0.0206,0.7111,23.47,11.74,Low,0,0,-16.69,0,0,Andhra Pradesh,India,Tirupati,3,85.46
312,OYO 10565 Hotel Mira International,DGH034,IN,0.2,0.22,25085,97,17.43,0.18,0.2466,0.9385,0.0006,0.0296,0.0002,0.9093,0.0609,21311,3,0.0309,0.1465,119.01,39.67,Below Average,6.92,0.07,-10.51,0.397,0.0581,West Bengal,India,Digha,3,85.45
313,OYO 9236 9 Star Hotel,AGR122,IN,0.15,0.16,14249,97,27.01,0.28,0.2484,0.9424,0.0002,0.0546,0.0004,0.8876,0.0574,9147,8,0.0825,0.1342,201.23,25.15,Low,0,0,-27.01,0,0,Uttar Pradesh,India,Agra,3,82.33
314,OYO 16122 Hotel Navya Palace,DMN022,IN,0.13,0.22,6302,96,12.97,0.14,0.7807,0.9341,0.0012,0.7967,0,0.1374,0.0659,5419,0,0,,0,,Low,0,0,-12.97,0,,Daman and Diu,India,Daman,3,82.29
315,OYO 14202 Rajinder Regency,SHM421,IN,0.11,0.17,7658,96,36.85,0.38,0.9457,0.9751,0.0001,0.9751,0,0,0.0249,6354,0,0,,0,,Below Average,0,0,-36.85,0,,Himachal Pradesh,India,Shimla,3,81.32
316,OYO 15115 Hotel Ramcharan Residency,TPI070,IN,0.13,0.23,3115,96,11.92,0.12,0.6411,0.7615,0.0008,0.3165,0,0.4453,0.2382,1712,1,0.0104,0.3918,30.42,30.42,Below Average,0,0,-11.92,0,0,Andhra Pradesh,India,Tirupati,3,85.73
317,OYO 1806 Platinum House,ALD008,IN,0.14,0.17,6181,96,15.93,0.17,0.8235,0.9503,0.0003,0.6839,0.0005,0.2661,0.0495,5588,2,0.0208,0.3921,40.63,20.32,Low,3.26,0.03,-12.67,0.2046,0.0802,Uttar Pradesh,India,Allahabad,3,82.13
318,Capital O 15502 The Grand Alova,RKH099,IN,0.18,0.26,2050,96,19.47,0.2,0.9639,0.9639,0,0.9634,0,0.0005,0.0361,1669,1,0.0104,0.4835,40.27,40.27,High,0,0,-19.47,0,0,Uttarakhand,India,Rishikesh,4,83.86
319,OYO 15767 MR International,MDU057,IN,0.2,0.26,6406,96,21.48,0.22,0.8124,0.9154,0,0.6983,0.0016,0.2156,0.0846,5245,5,0.0521,0.2085,103,20.6,Average,0,0,-21.48,0,0,Tamil Nadu,India,Madurai,3,76.65
320,OYO 404 Hotel BlueBell,NOD022,IN,0.11,0.13,1566,96,13.75,0.14,0.9681,0.9687,0.0033,0.5888,0,0.3799,0.0313,1246,0,0,,0,,Average,0,0,-13.75,0,,Uttar Pradesh,India,Greater Noida,3,80.2
321,OYO 16077 Panchvati Residency,MUM720,IN,0.21,0.27,1756,96,21.77,0.23,0.5068,0.9049,0,0.3343,0,0.5706,0.0951,1274,4,0.0417,0.0621,350.81,87.7,Average,0,0,-21.77,0,0,Maharashtra,India,Mumbai,3,83.62
322,OYO 4017 Hotel Grand Ashwin 1,NSK020,IN,0.11,0.26,8493,96,14.75,0.15,0.4143,0.939,0.0008,0.2345,0.0001,0.7051,0.0603,7201,2,0.0208,0.6115,24.12,12.06,Low,0,0,-14.75,0,0,Maharashtra,India,Nashik,3,84.6
323,OYO 3892 Hotel Divya Palace,IND066,IN,0.11,0.21,2123,95,20.2,0.21,0.4696,0.8285,0.0162,0.634,0,0.1945,0.1715,1374,0,0,,0,,Low,0,0,-20.2,0,,Madhya Pradesh,India,Indore,3,88.72
324,OYO 9944 Hotel Malwa INN,IND145,IN,0.32,0.51,13160,95,39.43,0.42,0.3996,0.921,0.0004,0.3626,0.0005,0.5583,0.0786,11177,4,0.0421,0.2064,191,47.75,Average,0,0,-39.43,0,0,Madhya Pradesh,India,Indore,3,86.25
325,OYO 9545 Hotel Heritage,SRG036,IN,0.12,0.26,3763,95,16.65,0.18,0.6986,0.7935,0.0003,0.4587,0.0029,0.3319,0.2065,2528,2,0.0211,0.4916,33.87,16.93,Below Average,2.85,0.03,-13.8,0.1712,0.0841,West Bengal,India,Darjeeling,3,85.43
326,OYO 12349 Imperial Plus,MUM657,IN,0.32,0.4,56926,95,60.7,0.64,0.0719,0.9486,0,0.1542,0.0001,0.7943,0.0514,50607,4,0.0421,0.1606,377.86,94.46,Below Average,0,0,-60.7,0,0,Maharashtra,India,Mumbai,3,82.81
327,OYO 6956 Hotel Joaquim,GOA459,IN,0.18,0.23,16151,95,24.06,0.25,0.2906,0.8485,0,0.0726,0.0003,0.7756,0.1515,11025,3,0.0316,0.1012,237.68,79.23,Average,26.07,0.27,2.01,1.0835,0.1097,Goa,India,Velha Goa,3,88.73
328,OYO 14658 Shree Ambe Tara Guest House,GWL046,IN,0.42,0.5,5923,95,32.99,0.35,0.99,0.99,0,0.9873,0,0.0027,0.01,4699,3,0.0316,0.357,92.41,30.8,High,0,0,-32.99,0,0,Madhya Pradesh,India,Gwalior,3,81.63
329,OYO 10374 Hotel Swapnalok,LNL033,IN,0.19,0.39,24062,94,33.87,0.36,0.3314,0.9327,0.0001,0.1223,0.0007,0.8099,0.0672,21957,2,0.0213,0.4597,73.68,36.84,Below Average,0,0,-33.87,0,0,Maharashtra,India,Pune,3,80
330,OYO 3883 Hotel Grande Royale,IND065,IN,0.16,0.2,2597,94,13.82,0.15,0.6646,0.7867,0,0.3924,0,0.3943,0.2133,1709,2,0.0213,0.0896,154.24,77.12,Below Average,0,0,-13.82,0,0,Madhya Pradesh,India,Indore,3,85.06
331,OYO 9769 Hotel Chanakya Inn,PAT171,IN,0.21,0.22,2447,94,17.88,0.19,0.841,0.933,0,0.264,0.0004,0.6686,0.067,2054,4,0.0426,0.155,115.33,28.83,Below Average,0,0,-17.88,0,0,Bihar,India,Patna,3,81.02
332,OYO 2229 Hotel Golden Wings,UDP024,IN,0.27,0.47,7924,94,25.89,0.28,0.4363,0.7606,0,0.3515,0.0009,0.4083,0.2394,4944,10,0.1064,0.1387,186.67,18.67,Above Average,23.01,0.24,-2.88,0.8888,0.1233,Rajasthan,India,Udaipur,3,83.63
333,OYO 8678 Hotel Golden Nest,MUM546,IN,0.32,0.41,3187,94,32.89,0.35,0.6112,0.9476,0,0.529,0.0072,0.4114,0.0524,2431,7,0.0745,0.1229,267.63,38.23,Above Average,0,0,-32.89,0,0,Maharashtra,India,Mumbai,3,80.63
334,OYO 3129 DPS Inn,ALD017,IN,0.16,0.18,7426,94,15.36,0.16,0.8886,0.9281,0,0.826,0,0.1021,0.0719,6396,8,0.0851,0.0921,166.84,20.86,High,8.79,0.09,-6.57,0.5723,0.0527,Uttar Pradesh,India,Allahabad,3,81.45
335,OYO Flagship 121 Dashashwamedh Ghat Sahu,VNS121,IN,0.23,0.33,5035,94,25.35,0.27,0.3527,0.8959,0.0002,0.2018,0.0002,0.6941,0.1039,3748,7,0.0745,0.0615,411.97,58.85,Above Average,0,0,-25.35,0,0,Uttar Pradesh,India,Varanasi,3,86.05
336,OYO 9741 Triple Beach Guest House,GOA925,IN,0.14,0.19,42582,93,31.71,0.34,0.0855,0.9317,0.0001,0.0421,0.0002,0.8894,0.0683,34710,1,0.0108,2.1098,15.03,15.03,Below Average,0,0,-31.71,0,0,Goa,India,Benaulim,3,84.3
337,OYO 9989 Hotel Classic Executive,PUN313,IN,0.28,0.46,3339,93,32.95,0.35,0.5463,0.9305,0,0.1357,0,0.7948,0.0695,2583,8,0.086,0.2311,142.55,17.82,Average,0,0,-32.95,0,0,Maharashtra,India,Pune,3,86.42
338,OYO 3904 Home Stay Tara Palace,PUR046,IN,0.11,0.12,13312,93,13.9,0.15,0.1948,0.893,0.0132,0.1135,0.0002,0.7794,0.1068,10469,1,0.0108,1.2625,11.01,11.01,Low,0,0,-13.9,0,0,Odisha,India,Puri,3,85.8
339,OYO 15606 Hotel Ranthambore Resort,RTH019,IN,0.11,0.23,3265,93,19.3,0.21,0.7397,0.9651,0,0.7387,0,0.2263,0.0349,2326,2,0.0215,0.7601,25.39,12.7,Below Average,0,0,-19.3,0,0,Rajasthan,India,Ranthambore National Park,3,85.24
340,OYO 12031 Hotel Ponkailash Holiday Resort,YER006,IN,0.15,0.26,6824,92,15.02,0.16,0.6659,0.8488,0.0003,0.1751,0.0003,0.6737,0.1509,5425,4,0.0435,0.3234,46.44,11.61,Average,0,0,-15.02,0,0,Tamil Nadu,India,Yercaud,3,81.11
341,OYO 13580 The Queenz,DRG096,IN,0.12,0.33,13333,92,17.58,0.19,0.1301,0.8795,0.0002,0.1653,0.001,0.7134,0.1203,9715,0,0,,0,,Low,0,0,-17.58,0,,West Bengal,India,Darjeeling,3,81.59
