Sl no.,Hotel Name,PartnerRef,POS,Bid CPC,Opportunity CPC,Hotel Impr,Clicks,Cost,Avg. CPC,Top Pos Share,Impr Share,Outbid Ratio,Beat,Meet,Lose,Unavailability,Max Potential,Bookings,Booking Rate,CPA,Gross Rev,ABV,Booking Value Index,Net Rev,Net Rev/Click,Profit,ROAS,Margin,Region,Country,City,Stars,Rating
124,OYO 11909 Star Plaza,KOC260,IN,0.32,0.33,3040,172,46.34,0.27,0.9516,0.9609,0,0.3582,0.0053,0.5974,0.0391,2354,16,0.093,0.1554,298.21,18.64,High,0,0,-46.34,0,0,Kerala,India,Kochi,3,84.48
125,OYO 5449 Hotel SBD Guest House,GKP003,IN,0.13,0.16,5019,169,36.69,0.22,0.9201,0.9223,0,0.9107,0,0.0116,0.0777,3213,8,0.0473,0.2544,144.22,18.03,Below Average,0,0,-36.69,0,0,Uttar Pradesh,India,Gorakhpur,3,86.93
126,OYO 9344 Hotel Gangotri,PUR133,IN,0.16,0.18,7112,168,26.93,0.16,0.7206,0.8483,0.0002,0.4345,0.0006,0.4134,0.1516,5229,6,0.0357,0.0626,430.27,71.71,Average,0,0,-26.93,0,0,Odisha,India,Puri,3,88.13
127,OYO 10942 Home INN,SHM266,IN,0.29,0.49,12025,168,50.65,0.3,0.4421,0.9217,0.0001,0.4331,0.0007,0.4881,0.0782,9840,6,0.0357,0.1088,465.35,77.56,Above Average,8.74,0.05,-41.91,0.1726,0.0188,Himachal Pradesh,India,Shimla,3,82.38
128,OYO 8992 Hotel Kyra,AHM311,IN,0.31,0.32,3954,167,62.98,0.38,0.8508,0.9813,0.0003,0.5493,0.0096,0.4226,0.0185,3138,17,0.1018,0.234,269.15,15.83,High,5.43,0.03,-57.55,0.0862,0.0202,Gujarat,India,Ahmedabad,3,80.2
129,OYO 1467 Hotel Hill Queen,MUS009,IN,0.12,0.15,2018,167,25.76,0.15,0.9192,0.9445,0,0.94,0,0.0045,0.0555,1502,4,0.024,0.2018,127.66,31.92,Below Average,0,0,-25.76,0,0,Uttarakhand,India,Mussoorie,3,79.93
130,OYO 15901 Maa Tara Palace,TPH002,IN,0.11,0.13,2365,167,32.34,0.19,0.94,0.9687,0,0.9666,0,0.0021,0.0313,1364,3,0.018,0.8926,36.23,12.08,Low,3.39,0.02,-28.95,0.1048,0.0936,West Bengal,India,Tarapith,3,80.17
131,OYO 3076 Hotel Gitanjali Inn,SRG010,IN,0.22,0.24,10495,167,39.99,0.24,0.3867,0.9253,0,0.1889,0.0003,0.7361,0.0747,8036,7,0.0419,0.0686,582.57,83.22,High,0,0,-39.99,0,0,West Bengal,India,Darjeeling,3,87.21
132,OYO 12361 S24 Hotel,IND158,IN,0.14,0.34,12859,167,35.12,0.21,0.0806,0.9287,0.0003,0.1967,0.0012,0.7312,0.071,10637,8,0.0479,0.1056,332.49,41.56,Low,1.64,0.01,-33.48,0.0467,0.0049,Madhya Pradesh,India,Indore,3,86.95
133,OYO 14884 Costarica Guest House,DGH041,IN,0.19,0.27,28309,166,38.85,0.23,0.1262,0.9645,0.0006,0.1855,0.0001,0.7795,0.0349,17423,5,0.0301,0.2315,167.83,33.57,Below Average,0,0,-38.85,0,0,West Bengal,India,Digha,3,85.65
134,OYO 11748 Pine Hill suites,OTY091,IN,0.13,0.21,8052,165,34.16,0.21,0.5641,0.6302,0,0.5811,0,0.0491,0.3698,4267,1,0.0061,3.1339,10.9,10.9,Below Average,0,0,-34.16,0,0,Tamil Nadu,India,Udhagamandalam,3,78.54
135,OYO 14947 Ace Prime Hotel,NOD345,IN,0.2,0.28,2318,160,39.73,0.25,0.7308,0.8425,0,0.8348,0,0.0078,0.1575,1390,5,0.0313,0.4594,86.49,17.3,Average,0,0,-39.73,0,0,Uttar Pradesh,India,Greater Noida,3,82.37
136,OYO 10189 Hotel Aashiyana,GHY156,IN,0.36,0.52,12054,158,57.34,0.36,0.402,0.9505,0,0.0942,0.0005,0.8558,0.0495,9397,9,0.057,0.1622,353.41,39.27,Above Average,17.15,0.11,-40.19,0.2991,0.0485,Assam,India,Guwahati,3,88
137,OYO 3275 near Titos Lane,GOA264,IN,0.11,0.35,6466,158,23.28,0.15,0.212,0.8566,0.0253,0.214,0.0002,0.6426,0.1432,4103,0,0,,0,,Low,0,0,-23.28,0,,Goa,India,Velha Goa,3,87.13
138,OYO 10908 Hotel North Point,SRG042,IN,0.11,0.37,9599,157,33.01,0.21,0.3144,0.9151,0.0008,0.2703,0.0007,0.6448,0.0842,7600,1,0.0064,3.4857,9.47,9.47,Low,0,0,-33.01,0,0,West Bengal,India,Darjeeling,3,84.03
139,OYO 5232 Kwality Hotel,DHN068,IN,0.25,0.48,14397,157,66.05,0.42,0.8363,0.9803,0,0.3611,0.0003,0.6188,0.0197,13219,8,0.051,0.3864,170.95,21.37,Above Average,11.33,0.07,-54.72,0.1715,0.0663,Uttarakhand,India,Dehradun,3,86.22
140,OYO 10254 Hotel Taha Pride,NAG057,IN,0.19,0.3,10505,157,49.55,0.32,0.4442,0.9283,0.0001,0.0679,0.0003,0.8603,0.0716,8114,10,0.0637,0.3367,147.16,14.72,Below Average,0,0,-49.55,0,0,Maharashtra,India,Nagpur,3,81.82
141,OYO 11494 Hotel Marc,SHM272,IN,0.14,0.19,32864,157,53.18,0.34,0.1415,0.943,0.0001,0.0586,0.0001,0.8844,0.0569,26640,1,0.0064,2.922,18.2,18.2,Low,0,0,-53.18,0,0,Himachal Pradesh,India,Shimla,3,83.28
142,OYO 14476 The Park,MUS177,IN,0.12,0.14,3519,156,29.95,0.19,0.8562,0.9309,0,0.8286,0.0003,0.102,0.0691,2656,3,0.0192,1.0501,28.52,9.51,Low,0,0,-29.95,0,0,Uttarakhand,India,Mussoorie,3,83.89
143,OYO 11709 A Ooty Honey Huts,OTY089,IN,0.15,0.22,4096,156,35,0.22,0.9177,0.9292,0,0.4036,0.0029,0.5227,0.0708,3115,3,0.0192,0.3584,97.65,32.55,Below Average,6.48,0.04,-28.52,0.1851,0.0664,Tamil Nadu,India,Udhagamandalam,3,88.53
144,OYO 8999 Rajarhat,KOL538,IN,0.17,0.2,2379,156,28.85,0.18,0.7058,0.9357,0,0.7919,0,0.1438,0.0643,1808,6,0.0385,0.323,89.33,14.89,Below Average,0,0,-28.85,0,0,West Bengal,India,Kolkata,3,84.48
145,OYO 3162 The Heritage Rishikesh,RKH020,IN,0.18,0.34,10663,155,50.95,0.33,0.7235,0.9525,0,0.1747,0.0001,0.7777,0.0475,9039,4,0.0258,0.8402,60.64,15.16,Below Average,2.03,0.01,-48.92,0.0398,0.0335,Uttarakhand,India,Rishikesh,3,83.01
146,OYO 9048 Hotel Lucifer,PUR130,IN,0.11,0.14,15505,155,35.63,0.23,0.407,0.8921,0.001,0.239,0.0001,0.6539,0.107,12241,3,0.0194,0.63,56.56,18.85,Low,0,0,-35.63,0,0,Odisha,India,Puri,3,84.87
147,OYO 5227 Hotel New Bharat,NAN100,IN,0.18,0.25,7663,155,35.16,0.23,0.3615,0.9186,0.0004,0.1495,0.0031,0.7663,0.081,6168,2,0.0129,0.7411,47.44,23.72,Low,0,0,-35.16,0,0,Uttarakhand,India,Nainital,3,72.88
148,OYO 14630 panchwati,PUN365,IN,0.11,0.13,1599,154,19.23,0.12,0.9781,0.9787,0.0006,0.9775,0,0.0013,0.0213,1387,2,0.013,0.3215,59.81,29.9,Low,0,0,-19.23,0,0,Maharashtra,India,Pune,3,83.25
149,OYO 8600 Hotel Deepali Executive,AUR034,IN,0.29,0.4,9503,154,62.76,0.41,0.279,0.9284,0.0003,0.0618,0,0.867,0.0712,5286,9,0.0584,0.2662,235.76,26.2,Below Average,0,0,-62.76,0,0,Maharashtra,India,Aurangabad,3,82.99
150,OYO 11938 Mitra Residency,WAR009,IN,0.2,0.22,1744,154,38.7,0.25,0.8435,0.9174,0,0.7259,0.0017,0.1898,0.0826,775,8,0.0519,0.1953,198.18,24.77,Above Average,7.94,0.05,-30.76,0.2052,0.0401,Andhra Pradesh,India,Warangal,3,82.52
151,OYO 5097 Reddison Square,KTR027,IN,0.14,0.24,10413,154,32.42,0.21,0.4118,0.9302,0.0006,0.224,0,0.7067,0.0692,8738,6,0.039,0.511,63.45,10.58,Below Average,4.03,0.03,-28.39,0.1243,0.0635,Jammu and Kashmir,India,Katra,3,81.77
152,OYO 8672 Hotel Friends,HLD022,IN,0.21,0.31,4807,154,53.3,0.35,0.9451,0.975,0,0.3834,0.0004,0.5912,0.025,3792,10,0.0649,0.3804,140.11,14.01,Above Average,0,0,-53.3,0,0,Uttarakhand,India,Haldwani,3,83.63
153,OYO 3301 Maya International,KOL225,IN,0.1,0.12,1229,153,15.3,0.1,0.9227,0.9276,0.1409,0.9162,0,0.0114,0.0724,939,1,0.0065,1.3871,11.03,11.03,Low,0,0,-15.3,0,0,West Bengal,India,Kolkata,3,80
154,OYO 11917 Hotel Symphony Grand,MUM648,IN,0.21,0.31,4671,153,33.75,0.22,0.6757,0.9037,0.0005,0.7129,0,0.1912,0.0959,3322,3,0.0196,0.2761,122.26,40.75,Below Average,7.3,0.05,-26.45,0.2163,0.0597,Maharashtra,India,Mumbai,3,85.03
155,OYO 2338 Hotel Pelican,BBS012,IN,0.25,0.44,4043,152,38.58,0.25,0.8266,0.9253,0,0.4529,0.0092,0.4633,0.0747,3042,12,0.0789,0.236,163.5,13.62,Above Average,4.04,0.03,-34.54,0.1047,0.0247,Odisha,India,Bhubaneswar,3,81.84
